Date,Invoice ID,Product,Category,Quantity,Price,Total,Customer Name,Region,Payment Method
2025-01-01,INV001,Smartphone,Electronics,2,30000,60000,Amit Sharma,North,Credit Card
2025-01-02,INV002,Laptop,Electronics,1,55000,55000,,West,Debit Card
2025-01-03,INV003,T-shirt,Clothing,3,500,1500,Rahul Verma,South, cash 
2025-01-04,INV004,Refrigerator,Appliances,1,20000,12345,Pooja Desai,East,Credit Card
2025-01-05,INV005,Headphones,Electronics,4,1500,6000,Karan Singh,North,
2025-01-06,INV006,Washing Machine,Appliances,1,18000,18000,Simran Kaur,West,credit card
2025-01-07,INV007,Jeans,Clothing,2,1200,2400,Vikram Patel,South,Csh
2025-01-08,INV008,Smartwatch,Electronics,3,5000,15000,Anjali Rao,East,Cash
2025-01-09,INV009,Microwave,Appliances,2,10000,20000,Sachin Joshi,North,UPI
2025-01-10,INV010,Shoes,Clothing,1,2500,2500,Ritika Jain,West,Credit Card
2025-01-01,INV001,Smartphone,Electronics,2,30000,60000,Amit Sharma,North,Credit Card
